class,precision,recall,f1,support
27,0.9959,0.9939,0.9949,490
5,0.9899,1.0,0.9949,490
40,0.9918,0.9898,0.9908,490
93,0.9896,0.9714,0.9804,490
15,0.9561,0.9776,0.9667,490
87,0.9787,0.9367,0.9572,490
33,0.924,0.9918,0.9567,490
12,0.9889,0.9082,0.9468,490
19,0.9581,0.9327,0.9452,490
46,1.0,0.8918,0.9428,490
81,0.978,0.9082,0.9418,490
45,0.9794,0.8735,0.9234,490
31,0.9426,0.9041,0.9229,490
76,0.8916,0.9061,0.8988,490
75,0.901,0.8918,0.8964,490
66,0.9025,0.8878,0.8951,490
53,0.9517,0.8449,0.8951,490
26,0.8866,0.8776,0.8821,490
39,0.8399,0.9204,0.8783,490
63,0.9458,0.8184,0.8775,490
28,0.8631,0.8878,0.8753,490
54,0.8884,0.8612,0.8746,490
10,0.9562,0.802,0.8724,490
57,0.8352,0.9102,0.8711,490
22,0.7852,0.9776,0.8709,490
99,0.9488,0.7939,0.8644,490
89,0.7696,0.9816,0.8628,490
67,0.8877,0.8388,0.8625,490
30,0.9376,0.798,0.8622,490
100,0.8824,0.8265,0.8535,490
56,0.9196,0.7939,0.8521,490
3,0.8623,0.8306,0.8462,490
18,0.921,0.7612,0.8335,490
59,0.784,0.8816,0.83,490
44,0.813,0.8429,0.8277,490
79,0.7555,0.9082,0.8248,490
82,0.7699,0.8878,0.8246,490
97,0.8316,0.8163,0.8239,490
38,0.8986,0.7592,0.823,490
36,0.7308,0.9143,0.8123,490
29,0.7526,0.8755,0.8094,490
32,0.7407,0.8918,0.8093,490
17,0.7141,0.9327,0.8088,490
50,0.8798,0.7469,0.8079,490
47,0.8446,0.7653,0.803,490
55,0.7452,0.8653,0.8008,490
20,0.7829,0.802,0.7923,490
43,0.7472,0.8265,0.7849,490
72,0.7664,0.7633,0.7648,490
25,0.8033,0.6918,0.7434,490
91,0.6047,0.9429,0.7368,490
60,0.7943,0.6857,0.736,490
78,0.7174,0.7306,0.724,490
48,0.8,0.6531,0.7191,490
8,0.8046,0.6388,0.7122,490
37,0.765,0.651,0.7034,490
14,0.5408,0.9469,0.6884,490
98,0.6401,0.7367,0.685,490
92,0.6964,0.6694,0.6826,490
42,0.6093,0.7735,0.6817,490
65,0.5921,0.7939,0.6783,490
61,0.6154,0.751,0.6765,490
13,0.5841,0.7796,0.6678,490
52,0.7005,0.6347,0.666,490
24,0.8012,0.5592,0.6587,490
88,0.6176,0.702,0.6571,490
35,0.7965,0.5592,0.6571,490
70,0.7102,0.6102,0.6564,490
58,0.7994,0.5449,0.6481,490
73,0.6961,0.5796,0.6325,490
101,0.543,0.7347,0.6245,490
62,0.5872,0.6531,0.6184,490
68,0.4964,0.7,0.5809,490
49,0.5323,0.6388,0.5807,490
4,0.5007,0.6837,0.5781,490
64,0.6686,0.4694,0.5516,490
77,0.6964,0.4306,0.5322,490
90,0.6833,0.3918,0.4981,490
94,0.5412,0.4286,0.4784,490
51,0.803,0.3245,0.4622,490
41,0.339,0.6959,0.4559,490
21,0.6,0.349,0.4413,490
85,0.6217,0.3388,0.4386,490
74,0.6157,0.3204,0.4215,490
9,0.6683,0.2837,0.3983,490
11,0.3035,0.402,0.3459,490
